date,date,Portland_median_price,SF_median_price
2015-05-03,2015-05-03,65.0,
2015-05-10,2015-05-10,65.0,120.0
2015-05-17,2015-05-17,65.0,124.5
2015-05-24,2015-05-24,65.0,125.0
2015-05-31,2015-05-31,65.0,120.0
2015-06-07,2015-06-07,67.0,125.0
2015-06-14,2015-06-14,68.0,125.0
2015-06-21,2015-06-21,68.0,125.0
2015-06-28,2015-06-28,68.0,125.0
2015-07-05,2015-07-05,68.0,125.0
2015-07-12,2015-07-12,67.0,125.0
2015-07-19,2015-07-19,65.0,125.0
2015-07-26,2015-07-26,65.0,125.0
2015-08-02,2015-08-02,67.0,124.0
2015-08-09,2015-08-09,65.0,
2015-08-16,2015-08-16,65.0,
2015-08-23,2015-08-23,,
2015-08-30,2015-08-30,,
2015-09-06,2015-09-06,79.0,144.0
2015-09-13,2015-09-13,75.0,135.0
2015-09-20,2015-09-20,75.0,141.0
2015-09-27,2015-09-27,73.0,135.0
2015-10-04,2015-10-04,71.0,131.0
2015-10-11,2015-10-11,70.0,130.0
2015-10-18,2015-10-18,71.0,130.0
2015-10-25,2015-10-25,70.0,129.0
2015-11-01,2015-11-01,70.0,126.0
2015-11-08,2015-11-08,66.0,120.0
2015-11-15,2015-11-15,66.5,120.0
2015-11-22,2015-11-22,65.5,119.0
2015-11-29,2015-11-29,67.0,119.0
2015-12-06,2015-12-06,65.0,110.0
2015-12-13,2015-12-13,62.0,109.0
2015-12-20,2015-12-20,62.0,112.5
2015-12-27,2015-12-27,65.0,110.0
2016-01-03,2016-01-03,64.0,115.0
2016-01-10,2016-01-10,62.0,112.5
2016-01-17,2016-01-17,62.0,115.0
2016-01-24,2016-01-24,62.0,113.0
2016-01-31,2016-01-31,62.0,114.0
2016-02-07,2016-02-07,60.0,125.0
2016-02-14,2016-02-14,60.0,115.0
2016-02-21,2016-02-21,60.0,110.0
2016-02-28,2016-02-28,60.0,110.0
2016-03-06,2016-03-06,60.0,114.0
2016-03-13,2016-03-13,60.25,115.0
2016-03-20,2016-03-20,62.0,119.0
2016-03-27,2016-03-27,62.5,115.0
2016-04-03,2016-04-03,62.0,118.0
2016-04-10,2016-04-10,60.0,113.0
2016-04-17,2016-04-17,60.0,111.0
2016-04-24,2016-04-24,60.0,113.0
2016-05-01,2016-05-01,60.0,115.0
2016-05-08,2016-05-08,62.0,116.0
2016-05-15,2016-05-15,62.5,120.0
2016-05-22,2016-05-22,62.5,120.0
2016-05-29,2016-05-29,64.0,120.0
2016-06-05,2016-06-05,65.0,119.0
2016-06-12,2016-06-12,65.0,119.0
2016-06-19,2016-06-19,65.0,119.0
2016-06-26,2016-06-26,65.0,120.0
2016-07-03,2016-07-03,65.0,119.0
2016-07-10,2016-07-10,65.0,119.0
2016-07-17,2016-07-17,65.0,119.0
2016-07-24,2016-07-24,65.0,119.0
2016-07-31,2016-07-31,65.0,119.0
2016-08-07,2016-08-07,65.0,125.0
2016-08-14,2016-08-14,65.0,120.0
2016-08-21,2016-08-21,65.0,119.0
2016-08-28,2016-08-28,65.0,118.0
2016-09-04,2016-09-04,65.0,119.0
2016-09-11,2016-09-11,65.0,119.33333333333333
2016-09-18,2016-09-18,65.0,120.0
2016-09-25,2016-09-25,65.0,120.0
2016-10-02,2016-10-02,65.0,117.0
2016-10-09,2016-10-09,65.0,120.0
2016-10-16,2016-10-16,65.0,115.0
